year,cpi,dividends,fixed_income,gold,growth,cape
1871,12.46,0.05855856,0.0532,0.02656043,0.09459459
1872,12.65,0.05417695,0.0536,-0.01940492,0.05144033
1873,12.94,0.05919765,0.0558,0.01539138,-0.08806262
1874,12.37,0.07081545,0.0547,0.01948896,-0.02575107
1875,11.51,0.07213656,0.0507,-0.0526763,-0.01762115
1876,10.85,0.06726457,0.0459,-0.0470852,-0.20403587
1877,10.94,0.08191549,0.0445,-0.02635294,-0.08450704
1878,9.23,0.05821538,0.0434,-0.00096665,0.10153846
1879,8.28,0.05075419,0.0422,0,0.4273743
1880,9.99,0.04011742,0.0402,0,0.21135029
1881,9.42,0.04281099,0.037,0,-0.04361874,18.45
1882,10.18,0.05405405,0.0362,0,-0.01858108,15.66
1883,9.99,0.05521515,0.0363,0,-0.10843373,15.25
1884,9.23,0.06337838,0.0362,0,-0.18146718,14.41
1885,8.28,0.07174528,0.0352,0,0.22641509,13.1
1886,7.99,0.04582692,0.0337,0,0.07307692,16.67
1887,7.99,0.03987455,0.0352,0,-0.0483871,17.48
1888,8.37,0.04676083,0.0367,0,-0.01318267,15.33
1889,7.99,0.04374046,0.0345,0,0.02671756,15.77
1890,7.61,0.04089219,0.0342,0,-0.10037175,17.18
1891,7.8,0.04545455,0.0362,0,0.13842975,15.4
1892,7.33,0.04023593,0.036,0,0.01814882,18.96
1893,7.9,0.04292335,0.0375,0,-0.22994652,17.6
1894,6.85,0.05710648,0.037,0,-0.0162037,15.7
1895,6.57,0.04901176,0.0346,0,0.00470588,16.47
1896,6.66,0.04430913,0.036,0,-0.0117096,16.53
1897,6.47,0.04265403,0.034,0,0.1563981,16.99
1898,6.66,0.03723361,0.0335,0,0.24590164,19.21
1899,6.76,0.03302632,0.031,0,0.00328947,22.87
1900,7.9,0.03565574,0.0315,0,0.15901639,18.63
1901,7.71,0.04267327,0.031,0,0.14851485,20.94
1902,7.9,0.03950739,0.0318,0,0.04187192,22.3
1903,8.66,0.03920804,0.033,0,-0.21040189,20.29
1904,8.28,0.0519012,0.034,0,0.26197605,15.84
1905,8.47,0.03697509,0.0348,0,0.17081851,18.44
1906,8.47,0.03402229,0.0343,0,-0.03140831,20.1
1907,8.85,0.04218619,0.0367,0,-0.2834728,17.19
1908,8.66,0.06375182,0.0387,0,0.32262774,11.89
1909,8.94,0.04451435,0.0376,0,0.11258278,14.75
1910,9.9,0.04389881,0.0391,0,-0.08035714,14.52
1911,9.23,0.05070119,0.0398,0,-0.01618123,14.02
1912,9.13,0.05162281,0.0401,0,0.01973684,13.78
1913,9.8,0.0516129,0.0445,0,-0.1,13.13
1914,10,0.0567503,0.0416,0,-0.10633214,11.62
1915,10.1,0.05625668,0.0424,0,0.2473262,10.34
1916,10.4,0.04724544,0.0405,0,0.02572347,12.53
1917,11.7,0.05964472,0.0423,0,-0.24660397,10.98
1918,14,0.09431345,0.0457,0,0.0887656,6.63
1919,16.5,0.07219108,0.045,0,0.12484076,6.09
1920,19.3,0.05983012,0.0497,0,-0.19479049,5.99
1921,19,0.07113924,0.0509,0,0.02672293,5.12
1922,16.9,0.06358904,0.043,0,0.21917808,6.28
1923,16.8,0.05749438,0.0436,0,-0.00786517,8.15
1924,17.3,0.06021518,0.0406,0,0.198188,8.07
1925,17.3,0.05238185,0.0386,0,0.19565217,9.69
1926,17.9,0.04802372,0.0368,0,0.05928854,11.33
1927,17.5,0.05199254,0.0334,0,0.30820896,13.18
1928,17.3,0.0443069,0.0333,0,0.41814033,18.79
1929,17.1,0.03459372,0.036,0,-0.12670957,27.06
1930,17.1,0.04471672,0.0329,0,-0.26393367,22.3
1931,15.9,0.06049437,0.0334,0,-0.48060075,16.7
1932,14.3,0.09557831,0.0368,0.56361877,-0.14578313,9.31
1933,12.9,0.06981664,0.0331,0.08292079,0.48660085,8.73
1934,13.2,0.04182163,0.0312,0,-0.12144213,13.02
1935,13.6,0.04859611,0.0279,0,0.48596112,11.49
1936,13.8,0.03488372,0.0265,0,0.27834302,17.08
1937,14.1,0.04150085,0.0268,0,-0.35702103,21.61
1938,14.2,0.07014439,0.0256,0,0.10521662,13.51
1939,14,0.04106664,0.0236,-0.01428571,-0.016,15.6
1940,13.9,0.05067748,0.0221,0.02898551,-0.14227642,16.37
1941,14.1,0.06382303,0.0195,0,-0.1535545,13.9
1942,15.7,0.07876069,0.0246,0.02816901,0.12989922,10.1
1943,16.9,0.05847374,0.0247,-0.00684932,0.17443013,10.15
1944,17.4,0.05175806,0.0248,0.02758621,0.13839662,11.05
